id	posx	posy	h	type	mass	dx	dy
156	-0.333333	-0.224747	0.005000	1	0.025000	0.005000	0.005000
157	-0.333333	-0.229798	0.005000	1	0.025000	0.005000	0.005000
158	-0.333333	-0.234848	0.005000	1	0.025000	0.005000	0.005000
159	-0.333333	-0.239899	0.005000	1	0.025000	0.005000	0.005000
160	-0.333333	-0.244949	0.005000	1	0.025000	0.005000	0.005000
161	-0.333333	-0.250000	0.005000	1	0.025000	0.005000	0.005000
162	-0.328283	-0.250000	0.005000	1	0.025000	0.005000	0.005000
163	-0.323232	-0.250000	0.005000	1	0.025000	0.005000	0.005000
164	-0.318182	-0.250000	0.005000	1	0.025000	0.005000	0.005000
165	-0.313131	-0.250000	0.005000	1	0.025000	0.005000	0.005000
166	-0.308081	-0.250000	0.005000	1	0.025000	0.005000	0.005000
167	-0.303030	-0.250000	0.005000	1	0.025000	0.005000	0.005000
168	-0.297980	-0.250000	0.005000	1	0.025000	0.005000	0.005000
169	-0.292929	-0.250000	0.005000	1	0.025000	0.005000	0.005000
170	-0.287879	-0.250000	0.005000	1	0.025000	0.005000	0.005000
171	-0.282828	-0.250000	0.005000	1	0.025000	0.005000	0.005000
172	-0.277778	-0.250000	0.005000	1	0.025000	0.005000	0.005000
173	-0.272727	-0.250000	0.005000	1	0.025000	0.005000	0.005000
174	-0.267677	-0.250000	0.005000	1	0.025000	0.005000	0.005000
175	-0.262626	-0.250000	0.005000	1	0.025000	0.005000	0.005000
176	-0.257576	-0.250000	0.005000	1	0.025000	0.005000	0.005000
177	-0.252525	-0.250000	0.005000	1	0.025000	0.005000	0.005000
178	-0.247475	-0.250000	0.005000	1	0.025000	0.005000	0.005000
179	-0.242424	-0.250000	0.005000	1	0.025000	0.005000	0.005000
180	-0.237374	-0.250000	0.005000	1	0.025000	0.005000	0.005000
181	-0.232323	-0.250000	0.005000	1	0.025000	0.005000	0.005000
182	-0.227273	-0.250000	0.005000	1	0.025000	0.005000	0.005000
183	-0.222222	-0.250000	0.005000	1	0.025000	0.005000	0.005000
184	-0.217172	-0.250000	0.005000	1	0.025000	0.005000	0.005000
185	-0.212121	-0.250000	0.005000	1	0.025000	0.005000	0.005000
186	-0.207071	-0.250000	0.005000	1	0.025000	0.005000	0.005000
187	-0.202020	-0.250000	0.005000	1	0.025000	0.005000	0.005000
188	-0.196970	-0.250000	0.005000	1	0.025000	0.005000	0.005000
189	-0.191919	-0.250000	0.005000	1	0.025000	0.005000	0.005000
190	-0.186869	-0.250000	0.005000	1	0.025000	0.005000	0.005000
191	-0.181818	-0.250000	0.005000	1	0.025000	0.005000	0.005000
192	-0.176768	-0.250000	0.005000	1	0.025000	0.005000	0.005000
193	-0.171717	-0.250000	0.005000	1	0.025000	0.005000	0.005000
194	-0.166667	-0.250000	0.005000	1	0.025000	0.005000	0.005000
195	-0.166667	-0.244949	0.005000	1	0.025000	0.005000	0.005000
196	-0.166667	-0.239899	0.005000	1	0.025000	0.005000	0.005000
197	-0.166667	-0.234848	0.005000	1	0.025000	0.005000	0.005000
198	-0.166667	-0.229798	0.005000	1	0.025000	0.005000	0.005000
199	-0.166667	-0.224747	0.005000	1	0.025000	0.005000	0.005000
200	-0.166667	-0.219697	0.005000	1	0.025000	0.005000	0.005000
201	-0.166667	-0.214646	0.005000	1	0.025000	0.005000	0.005000
202	-0.166667	-0.209596	0.005000	1	0.025000	0.005000	0.005000
203	-0.166667	-0.204545	0.005000	1	0.025000	0.005000	0.005000
204	-0.166667	-0.199495	0.005000	1	0.025000	0.005000	0.005000
205	-0.166667	-0.194444	0.005000	1	0.025000	0.005000	0.005000
206	-0.166667	-0.189394	0.005000	1	0.025000	0.005000	0.005000
207	-0.166667	-0.184343	0.005000	1	0.025000	0.005000	0.005000
208	-0.166667	-0.179293	0.005000	1	0.025000	0.005000	0.005000
209	-0.166667	-0.174242	0.005000	1	0.025000	0.005000	0.005000
210	-0.166667	-0.169192	0.005000	1	0.025000	0.005000	0.005000
211	-0.166667	-0.164141	0.005000	1	0.025000	0.005000	0.005000
212	-0.166667	-0.159091	0.005000	1	0.025000	0.005000	0.005000
213	-0.166667	-0.154040	0.005000	1	0.025000	0.005000	0.005000
214	-0.166667	-0.148990	0.005000	1	0.025000	0.005000	0.005000
215	-0.166667	-0.143939	0.005000	1	0.025000	0.005000	0.005000
216	-0.166667	-0.138889	0.005000	1	0.025000	0.005000	0.005000
217	-0.166667	-0.133838	0.005000	1	0.025000	0.005000	0.005000
218	-0.166667	-0.128788	0.005000	1	0.025000	0.005000	0.005000
219	-0.166667	-0.123737	0.005000	1	0.025000	0.005000	0.005000
220	-0.166667	-0.118687	0.005000	1	0.025000	0.005000	0.005000
221	-0.166667	-0.113636	0.005000	1	0.025000	0.005000	0.005000
222	-0.166667	-0.108586	0.005000	1	0.025000	0.005000	0.005000
223	-0.166667	-0.103535	0.005000	1	0.025000	0.005000	0.005000
224	-0.166667	-0.098485	0.005000	1	0.025000	0.005000	0.005000
