id	posx	posy	h	type
132	-0.219697	-0.125000	0.010000	1
133	-0.212121	-0.125000	0.010000	1
134	-0.204545	-0.125000	0.010000	1
135	-0.196970	-0.125000	0.010000	1
136	-0.189394	-0.125000	0.010000	1
137	-0.181818	-0.125000	0.010000	1
138	-0.174242	-0.125000	0.010000	1
139	-0.166667	-0.125000	0.010000	1
140	-0.159091	-0.125000	0.010000	1
141	-0.151515	-0.125000	0.010000	1
142	-0.143939	-0.125000	0.010000	1
143	-0.136364	-0.125000	0.010000	1
144	-0.128788	-0.125000	0.010000	1
145	-0.121212	-0.125000	0.010000	1
146	-0.113636	-0.125000	0.010000	1
147	-0.106061	-0.125000	0.010000	1
148	-0.098485	-0.125000	0.010000	1
149	-0.090909	-0.125000	0.010000	1
150	-0.083333	-0.125000	0.010000	1
151	-0.075758	-0.125000	0.010000	1
152	-0.068182	-0.125000	0.010000	1
153	-0.060606	-0.125000	0.010000	1
154	-0.053030	-0.125000	0.010000	1
155	-0.045455	-0.125000	0.010000	1
156	-0.037879	-0.125000	0.010000	1
157	-0.030303	-0.125000	0.010000	1
158	-0.022727	-0.125000	0.010000	1
159	-0.015152	-0.125000	0.010000	1
160	-0.007576	-0.125000	0.010000	1
161	0.000000	-0.125000	0.010000	1
162	-0.490000	-0.115000	0.010000	0
163	-0.482000	-0.115000	0.010000	0
164	-0.474000	-0.115000	0.010000	0
165	-0.466000	-0.115000	0.010000	0
166	-0.458000	-0.115000	0.010000	0
167	-0.450000	-0.115000	0.010000	0
168	-0.442000	-0.115000	0.010000	0
169	-0.434000	-0.115000	0.010000	0
170	-0.426000	-0.115000	0.010000	0
171	-0.418000	-0.115000	0.010000	0
172	-0.410000	-0.115000	0.010000	0
173	-0.402000	-0.115000	0.010000	0
174	-0.394000	-0.115000	0.010000	0
175	-0.386000	-0.115000	0.010000	0
176	-0.378000	-0.115000	0.010000	0
177	-0.370000	-0.115000	0.010000	0
178	-0.362000	-0.115000	0.010000	0
179	-0.354000	-0.115000	0.010000	0
180	-0.346000	-0.115000	0.010000	0
181	-0.338000	-0.115000	0.010000	0
182	-0.330000	-0.115000	0.010000	0
183	-0.322000	-0.115000	0.010000	0
184	-0.314000	-0.115000	0.010000	0
185	-0.306000	-0.115000	0.010000	0
186	-0.298000	-0.115000	0.010000	0
187	-0.290000	-0.115000	0.010000	0
188	-0.282000	-0.115000	0.010000	0
189	-0.274000	-0.115000	0.010000	0
190	-0.266000	-0.115000	0.010000	0
191	-0.258000	-0.115000	0.010000	0
192	-0.490000	-0.107000	0.010000	0
193	-0.482000	-0.107000	0.010000	0
194	-0.474000	-0.107000	0.010000	0
195	-0.466000	-0.107000	0.010000	0
196	-0.458000	-0.107000	0.010000	0
197	-0.450000	-0.107000	0.010000	0
198	-0.442000	-0.107000	0.010000	0
199	-0.434000	-0.107000	0.010000	0
200	-0.426000	-0.107000	0.010000	0
201	-0.418000	-0.107000	0.010000	0
202	-0.410000	-0.107000	0.010000	0
203	-0.402000	-0.107000	0.010000	0
204	-0.394000	-0.107000	0.010000	0
205	-0.386000	-0.107000	0.010000	0
206	-0.378000	-0.107000	0.010000	0
207	-0.370000	-0.107000	0.010000	0
