id	posx	posy	h	type
340	-0.370000	-0.030000	0.010000	0
341	-0.362000	-0.030000	0.010000	0
342	-0.490000	-0.022000	0.010000	0
343	-0.482000	-0.022000	0.010000	0
344	-0.474000	-0.022000	0.010000	0
345	-0.466000	-0.022000	0.010000	0
346	-0.458000	-0.022000	0.010000	0
347	-0.450000	-0.022000	0.010000	0
348	-0.442000	-0.022000	0.010000	0
349	-0.434000	-0.022000	0.010000	0
350	-0.426000	-0.022000	0.010000	0
351	-0.418000	-0.022000	0.010000	0
352	-0.410000	-0.022000	0.010000	0
353	-0.402000	-0.022000	0.010000	0
354	-0.394000	-0.022000	0.010000	0
355	-0.386000	-0.022000	0.010000	0
356	-0.378000	-0.022000	0.010000	0
357	-0.370000	-0.022000	0.010000	0
358	-0.362000	-0.022000	0.010000	0
359	-0.490000	-0.014000	0.010000	0
360	-0.482000	-0.014000	0.010000	0
361	-0.474000	-0.014000	0.010000	0
362	-0.466000	-0.014000	0.010000	0
363	-0.458000	-0.014000	0.010000	0
364	-0.450000	-0.014000	0.010000	0
365	-0.442000	-0.014000	0.010000	0
366	-0.434000	-0.014000	0.010000	0
367	-0.426000	-0.014000	0.010000	0
368	-0.418000	-0.014000	0.010000	0
369	-0.410000	-0.014000	0.010000	0
370	-0.402000	-0.014000	0.010000	0
371	-0.394000	-0.014000	0.010000	0
372	-0.386000	-0.014000	0.010000	0
373	-0.378000	-0.014000	0.010000	0
374	-0.370000	-0.014000	0.010000	0
375	-0.362000	-0.014000	0.010000	0
376	-0.490000	-0.006000	0.010000	0
377	-0.482000	-0.006000	0.010000	0
378	-0.474000	-0.006000	0.010000	0
379	-0.466000	-0.006000	0.010000	0
380	-0.458000	-0.006000	0.010000	0
381	-0.450000	-0.006000	0.010000	0
382	-0.442000	-0.006000	0.010000	0
383	-0.434000	-0.006000	0.010000	0
384	-0.426000	-0.006000	0.010000	0
385	-0.418000	-0.006000	0.010000	0
386	-0.410000	-0.006000	0.010000	0
387	-0.402000	-0.006000	0.010000	0
388	-0.394000	-0.006000	0.010000	0
389	-0.386000	-0.006000	0.010000	0
390	-0.378000	-0.006000	0.010000	0
391	-0.370000	-0.006000	0.010000	0
392	-0.362000	-0.006000	0.010000	0
393	-0.490000	0.002000	0.010000	0
394	-0.482000	0.002000	0.010000	0
395	-0.474000	0.002000	0.010000	0
396	-0.466000	0.002000	0.010000	0
397	-0.458000	0.002000	0.010000	0
398	-0.450000	0.002000	0.010000	0
399	-0.442000	0.002000	0.010000	0
400	-0.434000	0.002000	0.010000	0
401	-0.426000	0.002000	0.010000	0
402	-0.418000	0.002000	0.010000	0
403	-0.410000	0.002000	0.010000	0
404	-0.402000	0.002000	0.010000	0
405	-0.394000	0.002000	0.010000	0
406	-0.386000	0.002000	0.010000	0
407	-0.378000	0.002000	0.010000	0
408	-0.370000	0.002000	0.010000	0
409	-0.362000	0.002000	0.010000	0
410	-0.490000	0.010000	0.010000	0
411	-0.482000	0.010000	0.010000	0
412	-0.474000	0.010000	0.010000	0
413	-0.466000	0.010000	0.010000	0
414	-0.458000	0.010000	0.010000	0
415	-0.450000	0.010000	0.010000	0
416	-0.442000	0.010000	0.010000	0
417	-0.434000	0.010000	0.010000	0
418	-0.426000	0.010000	0.010000	0
419	-0.418000	0.010000	0.010000	0
420	-0.410000	0.010000	0.010000	0
421	-0.402000	0.010000	0.010000	0
422	-0.394000	0.010000	0.010000	0
423	-0.386000	0.010000	0.010000	0
424	-0.378000	0.010000	0.010000	0
425	-0.370000	0.010000	0.010000	0
426	-0.362000	0.010000	0.010000	0
427	-0.490000	0.018000	0.010000	0
428	-0.482000	0.018000	0.010000	0
429	-0.474000	0.018000	0.010000	0
